user_id,user_handle,email,referred_by_user_id,signup_date_key,country,region,age_band,acquisition_channel,preferred_language,marketing_opt_in
1,viewer_00001,viewer00001@example.invalid,,20230320,Canada,North America,35-44,Creator,French,1
2,viewer_00002,viewer00002@example.invalid,,20230806,Mexico,Latin America,18-24,Paid Social,German,1
3,viewer_00003,viewer00003@example.invalid,,20230417,Indonesia,APAC,45+,Search,Portuguese,0
4,viewer_00004,viewer00004@example.invalid,,20230915,France,Europe,25-34,Referral,Spanish,1
5,viewer_00005,viewer00005@example.invalid,,20230221,Germany,Europe,13-17,Organic,English,1
6,viewer_00006,viewer00006@example.invalid,,20230825,Brazil,Latin America,35-44,Creator,Japanese,0
7,viewer_00007,viewer00007@example.invalid,,20231023,United States,North America,18-24,Paid Social,French,1
8,viewer_00008,viewer00008@example.invalid,,20240318,Japan,APAC,45+,Search,German,1
9,viewer_00009,viewer00009@example.invalid,,20230203,Canada,North America,25-34,Referral,Portuguese,0
10,viewer_00010,viewer00010@example.invalid,,20250401,Mexico,Latin America,13-17,Organic,Spanish,1
11,viewer_00011,viewer00011@example.invalid,,20230422,Indonesia,APAC,35-44,Creator,English,1
12,viewer_00012,viewer00012@example.invalid,,20240605,France,Europe,18-24,Paid Social,Japanese,0
13,viewer_00013,viewer00013@example.invalid,,20250816,Germany,Europe,45+,Search,French,1
14,viewer_00014,viewer00014@example.invalid,,20230510,Brazil,Latin America,25-34,Referral,German,1
15,viewer_00015,viewer00015@example.invalid,,20230131,United States,North America,13-17,Organic,Portuguese,0
16,viewer_00016,viewer00016@example.invalid,,20240801,Japan,APAC,35-44,Creator,Spanish,1
17,viewer_00017,viewer00017@example.invalid,,20230820,Canada,North America,18-24,Paid Social,English,1
18,viewer_00018,viewer00018@example.invalid,,20240109,Mexico,Latin America,45+,Search,Japanese,0
19,viewer_00019,viewer00019@example.invalid,,20250121,Indonesia,APAC,25-34,Referral,French,1
20,viewer_00020,viewer00020@example.invalid,,20230810,France,Europe,13-17,Organic,German,1
21,viewer_00021,viewer00021@example.invalid,,20231105,Germany,Europe,35-44,Creator,Portuguese,0
22,viewer_00022,viewer00022@example.invalid,,20230508,Brazil,Latin America,18-24,Paid Social,Spanish,1
23,viewer_00023,viewer00023@example.invalid,,20240303,United States,North America,45+,Search,English,1
24,viewer_00024,viewer00024@example.invalid,,20230710,Japan,APAC,25-34,Referral,Japanese,0
25,viewer_00025,viewer00025@example.invalid,,20230612,Canada,North America,13-17,Organic,French,1
26,viewer_00026,viewer00026@example.invalid,,20240620,Mexico,Latin America,35-44,Creator,German,1
27,viewer_00027,viewer00027@example.invalid,,20240823,Indonesia,APAC,18-24,Paid Social,Portuguese,0
28,viewer_00028,viewer00028@example.invalid,,20230910,France,Europe,45+,Search,Spanish,1
29,viewer_00029,viewer00029@example.invalid,,20240502,Germany,Europe,25-34,Referral,English,1
30,viewer_00030,viewer00030@example.invalid,,20240406,Brazil,Latin America,13-17,Organic,Japanese,0
31,viewer_00031,viewer00031@example.invalid,,20230504,United States,North America,35-44,Creator,French,1
32,viewer_00032,viewer00032@example.invalid,,20230206,Japan,APAC,18-24,Paid Social,German,1
33,viewer_00033,viewer00033@example.invalid,,20251108,Canada,North America,45+,Search,Portuguese,0
34,viewer_00034,viewer00034@example.invalid,,20231106,Mexico,Latin America,25-34,Referral,Spanish,1
35,viewer_00035,viewer00035@example.invalid,,20231126,Indonesia,APAC,13-17,Organic,English,1
36,viewer_00036,viewer00036@example.invalid,,20250330,France,Europe,35-44,Creator,Japanese,0
37,viewer_00037,viewer00037@example.invalid,,20250808,Germany,Europe,18-24,Paid Social,French,1
38,viewer_00038,viewer00038@example.invalid,,20241205,Brazil,Latin America,45+,Search,German,1
39,viewer_00039,viewer00039@example.invalid,,20230608,United States,North America,25-34,Referral,Portuguese,0
40,viewer_00040,viewer00040@example.invalid,,20230731,Japan,APAC,13-17,Organic,Spanish,1
41,viewer_00041,viewer00041@example.invalid,,20240506,Canada,North America,35-44,Creator,English,1
42,viewer_00042,viewer00042@example.invalid,,20240131,Mexico,Latin America,18-24,Paid Social,Japanese,0
43,viewer_00043,viewer00043@example.invalid,,20240723,Indonesia,APAC,45+,Search,French,1
44,viewer_00044,viewer00044@example.invalid,,20230617,France,Europe,25-34,Referral,German,1
45,viewer_00045,viewer00045@example.invalid,,20240125,Germany,Europe,13-17,Organic,Portuguese,0
46,viewer_00046,viewer00046@example.invalid,,20240723,Brazil,Latin America,35-44,Creator,Spanish,1
47,viewer_00047,viewer00047@example.invalid,,20241126,United States,North America,18-24,Paid Social,English,1
48,viewer_00048,viewer00048@example.invalid,,20230119,Japan,APAC,45+,Search,Japanese,0
49,viewer_00049,viewer00049@example.invalid,,20250709,Canada,North America,25-34,Referral,French,1
50,viewer_00050,viewer00050@example.invalid,,20240928,Mexico,Latin America,13-17,Organic,German,1
51,viewer_00051,viewer00051@example.invalid,,20250406,Indonesia,APAC,35-44,Creator,Portuguese,0
52,viewer_00052,viewer00052@example.invalid,,20240131,France,Europe,18-24,Paid Social,Spanish,1
53,viewer_00053,viewer00053@example.invalid,,20230817,Germany,Europe,45+,Search,English,1
54,viewer_00054,viewer00054@example.invalid,,20240814,Brazil,Latin America,25-34,Referral,Japanese,0
55,viewer_00055,viewer00055@example.invalid,,20250322,United States,North America,13-17,Organic,French,1
56,viewer_00056,viewer00056@example.invalid,2,20230415,Japan,APAC,35-44,Creator,German,1
57,viewer_00057,viewer00057@example.invalid,,20231107,Canada,North America,18-24,Paid Social,Portuguese,0
58,viewer_00058,viewer00058@example.invalid,,20250812,Mexico,Latin America,45+,Search,Spanish,1
59,viewer_00059,viewer00059@example.invalid,,20230602,Indonesia,APAC,25-34,Referral,English,1
60,viewer_00060,viewer00060@example.invalid,,20230715,France,Europe,13-17,Organic,Japanese,0
61,viewer_00061,viewer00061@example.invalid,,20240713,Germany,Europe,35-44,Creator,French,1
62,viewer_00062,viewer00062@example.invalid,,20230907,Brazil,Latin America,18-24,Paid Social,German,1
63,viewer_00063,viewer00063@example.invalid,47,20230515,United States,North America,45+,Search,Portuguese,0
64,viewer_00064,viewer00064@example.invalid,,20250613,Japan,APAC,25-34,Referral,Spanish,1
65,viewer_00065,viewer00065@example.invalid,,20251217,Canada,North America,13-17,Organic,English,1
66,viewer_00066,viewer00066@example.invalid,,20251127,Mexico,Latin America,35-44,Creator,Japanese,0
67,viewer_00067,viewer00067@example.invalid,,20230420,Indonesia,APAC,18-24,Paid Social,French,1
68,viewer_00068,viewer00068@example.invalid,,20231014,France,Europe,45+,Search,German,1
69,viewer_00069,viewer00069@example.invalid,,20250421,Germany,Europe,25-34,Referral,Portuguese,0
70,viewer_00070,viewer00070@example.invalid,9,20251123,Brazil,Latin America,13-17,Organic,Spanish,1
71,viewer_00071,viewer00071@example.invalid,,20250821,United States,North America,35-44,Creator,English,1
72,viewer_00072,viewer00072@example.invalid,,20240114,Japan,APAC,18-24,Paid Social,Japanese,0
73,viewer_00073,viewer00073@example.invalid,,20231026,Canada,North America,45+,Search,French,1
74,viewer_00074,viewer00074@example.invalid,,20250314,Mexico,Latin America,25-34,Referral,German,1
75,viewer_00075,viewer00075@example.invalid,,20231009,Indonesia,APAC,13-17,Organic,Portuguese,0
76,viewer_00076,viewer00076@example.invalid,,20240415,France,Europe,35-44,Creator,Spanish,1
77,viewer_00077,viewer00077@example.invalid,43,20250629,Germany,Europe,18-24,Paid Social,English,1
78,viewer_00078,viewer00078@example.invalid,,20230826,Brazil,Latin America,45+,Search,Japanese,0
79,viewer_00079,viewer00079@example.invalid,,20250708,United States,North America,25-34,Referral,French,1
80,viewer_00080,viewer00080@example.invalid,,20230221,Japan,APAC,13-17,Organic,German,1
81,viewer_00081,viewer00081@example.invalid,,20250119,Canada,North America,35-44,Creator,Portuguese,0
82,viewer_00082,viewer00082@example.invalid,,20240227,Mexico,Latin America,18-24,Paid Social,Spanish,1
83,viewer_00083,viewer00083@example.invalid,,20240809,Indonesia,APAC,45+,Search,English,1
84,viewer_00084,viewer00084@example.invalid,1,20240327,France,Europe,25-34,Referral,Japanese,0
85,viewer_00085,viewer00085@example.invalid,,20241003,Germany,Europe,13-17,Organic,French,1
86,viewer_00086,viewer00086@example.invalid,,20240216,Brazil,Latin America,35-44,Creator,German,1
87,viewer_00087,viewer00087@example.invalid,,20230813,United States,North America,18-24,Paid Social,Portuguese,0
88,viewer_00088,viewer00088@example.invalid,,20240315,Japan,APAC,45+,Search,Spanish,1
89,viewer_00089,viewer00089@example.invalid,,20240822,Canada,North America,25-34,Referral,English,1
90,viewer_00090,viewer00090@example.invalid,,20231028,Mexico,Latin America,13-17,Organic,Japanese,0
91,viewer_00091,viewer00091@example.invalid,45,20231124,Indonesia,APAC,35-44,Creator,French,1
92,viewer_00092,viewer00092@example.invalid,,20230722,France,Europe,18-24,Paid Social,German,1
93,viewer_00093,viewer00093@example.invalid,,20251116,Germany,Europe,45+,Search,Portuguese,0
94,viewer_00094,viewer00094@example.invalid,,20241114,Brazil,Latin America,25-34,Referral,Spanish,1
95,viewer_00095,viewer00095@example.invalid,,20240916,United States,North America,13-17,Organic,English,1
96,viewer_00096,viewer00096@example.invalid,,20230515,Japan,APAC,35-44,Creator,Japanese,0
97,viewer_00097,viewer00097@example.invalid,,20240325,Canada,North America,18-24,Paid Social,French,1
98,viewer_00098,viewer00098@example.invalid,55,20240506,Mexico,Latin America,45+,Search,German,1
99,viewer_00099,viewer00099@example.invalid,,20250810,Indonesia,APAC,25-34,Referral,Portuguese,0
100,viewer_00100,viewer00100@example.invalid,,20240825,France,Europe,13-17,Organic,Spanish,1
101,viewer_00101,viewer00101@example.invalid,,20230224,Germany,Europe,35-44,Creator,English,1
102,viewer_00102,viewer00102@example.invalid,,20250807,Brazil,Latin America,18-24,Paid Social,Japanese,0
103,viewer_00103,viewer00103@example.invalid,,20240129,United States,North America,45+,Search,French,1
104,viewer_00104,viewer00104@example.invalid,,20240512,Japan,APAC,25-34,Referral,German,1
105,viewer_00105,viewer00105@example.invalid,92,20250908,Canada,North America,13-17,Organic,Portuguese,0
106,viewer_00106,viewer00106@example.invalid,,20240229,Mexico,Latin America,35-44,Creator,Spanish,1
107,viewer_00107,viewer00107@example.invalid,,20231011,Indonesia,APAC,18-24,Paid Social,English,1
108,viewer_00108,viewer00108@example.invalid,,20241020,France,Europe,45+,Search,Japanese,0
109,viewer_00109,viewer00109@example.invalid,,20230214,Germany,Europe,25-34,Referral,French,1
110,viewer_00110,viewer00110@example.invalid,,20240123,Brazil,Latin America,13-17,Organic,German,1
111,viewer_00111,viewer00111@example.invalid,,20230707,United States,North America,35-44,Creator,Portuguese,0
112,viewer_00112,viewer00112@example.invalid,57,20240110,Japan,APAC,18-24,Paid Social,Spanish,1
113,viewer_00113,viewer00113@example.invalid,,20251225,Canada,North America,45+,Search,English,1
114,viewer_00114,viewer00114@example.invalid,,20241124,Mexico,Latin America,25-34,Referral,Japanese,0
115,viewer_00115,viewer00115@example.invalid,,20240515,Indonesia,APAC,13-17,Organic,French,1
116,viewer_00116,viewer00116@example.invalid,,20240131,France,Europe,35-44,Creator,German,1
117,viewer_00117,viewer00117@example.invalid,,20231205,Germany,Europe,18-24,Paid Social,Portuguese,0
118,viewer_00118,viewer00118@example.invalid,,20230904,Brazil,Latin America,45+,Search,Spanish,1
119,viewer_00119,viewer00119@example.invalid,44,20240413,United States,North America,25-34,Referral,English,1
120,viewer_00120,viewer00120@example.invalid,,20241110,Japan,APAC,13-17,Organic,Japanese,0
121,viewer_00121,viewer00121@example.invalid,,20250719,Canada,North America,35-44,Creator,French,1
122,viewer_00122,viewer00122@example.invalid,,20251122,Mexico,Latin America,18-24,Paid Social,German,1
123,viewer_00123,viewer00123@example.invalid,,20230927,Indonesia,APAC,45+,Search,Portuguese,0
124,viewer_00124,viewer00124@example.invalid,,20251130,France,Europe,25-34,Referral,Spanish,1
125,viewer_00125,viewer00125@example.invalid,,20240508,Germany,Europe,13-17,Organic,English,1
126,viewer_00126,viewer00126@example.invalid,13,20250727,Brazil,Latin America,35-44,Creator,Japanese,0
127,viewer_00127,viewer00127@example.invalid,,20240113,United States,North America,18-24,Paid Social,French,1
128,viewer_00128,viewer00128@example.invalid,,20240302,Japan,APAC,45+,Search,German,1
129,viewer_00129,viewer00129@example.invalid,,20251031,Canada,North America,25-34,Referral,Portuguese,0
130,viewer_00130,viewer00130@example.invalid,,20251031,Mexico,Latin America,13-17,Organic,Spanish,1
131,viewer_00131,viewer00131@example.invalid,,20250310,Indonesia,APAC,35-44,Creator,English,1
132,viewer_00132,viewer00132@example.invalid,,20240514,France,Europe,18-24,Paid Social,Japanese,0
133,viewer_00133,viewer00133@example.invalid,119,20241212,Germany,Europe,45+,Search,French,1
134,viewer_00134,viewer00134@example.invalid,,20241128,Brazil,Latin America,25-34,Referral,German,1
135,viewer_00135,viewer00135@example.invalid,,20230812,United States,North America,13-17,Organic,Portuguese,0
136,viewer_00136,viewer00136@example.invalid,,20231029,Japan,APAC,35-44,Creator,Spanish,1
137,viewer_00137,viewer00137@example.invalid,,20240728,Canada,North America,18-24,Paid Social,English,1
138,viewer_00138,viewer00138@example.invalid,,20230908,Mexico,Latin America,45+,Search,Japanese,0
139,viewer_00139,viewer00139@example.invalid,,20241008,Indonesia,APAC,25-34,Referral,French,1
140,viewer_00140,viewer00140@example.invalid,37,20251019,France,Europe,13-17,Organic,German,1
141,viewer_00141,viewer00141@example.invalid,,20231020,Germany,Europe,35-44,Creator,Portuguese,0
142,viewer_00142,viewer00142@example.invalid,,20250116,Brazil,Latin America,18-24,Paid Social,Spanish,1
143,viewer_00143,viewer00143@example.invalid,,20240620,United States,North America,45+,Search,English,1
144,viewer_00144,viewer00144@example.invalid,,20240317,Japan,APAC,25-34,Referral,Japanese,0
145,viewer_00145,viewer00145@example.invalid,,20230310,Canada,North America,13-17,Organic,French,1
146,viewer_00146,viewer00146@example.invalid,,20231002,Mexico,Latin America,35-44,Creator,German,1
147,viewer_00147,viewer00147@example.invalid,146,20250623,Indonesia,APAC,18-24,Paid Social,Portuguese,0
148,viewer_00148,viewer00148@example.invalid,,20251107,France,Europe,45+,Search,Spanish,1
149,viewer_00149,viewer00149@example.invalid,,20240709,Germany,Europe,25-34,Referral,English,1
150,viewer_00150,viewer00150@example.invalid,,20250907,Brazil,Latin America,13-17,Organic,Japanese,0
151,viewer_00151,viewer00151@example.invalid,,20230120,United States,North America,35-44,Creator,French,1
